representation,model,thinking,b1_score,b2_score,b3_score,b4_score,b5_score,b6_score,mean_comprehension,mean_generation
canonical_smiles,molqwen3-4b-instruct-sft,False,0.16,0.2616357291419625,0.6245783513076342,0.5256410256410257,0.0367454068241469,0.3231908175292632,0.3217201025829538,0.3231908175292632
canonical_smiles,molqwen3-vl-4b-instruct-sft,False,0.11,0.3161265280249768,0.6161678597445814,0.6153846153846154,0.0106100795755968,0.3252544579336626,0.3336578165459541,0.3252544579336626
canonical_smiles,qwen3-4b-instruct-2507,False,0.01,0.221879267921342,0.685567498778068,0.5641025641025641,0.0,0.2820696628957718,0.2963098661603948,0.2820696628957718
canonical_smiles,qwen3-vl-4b-instruct,False,0.06,0.3024752009363306,0.4503156310536294,0.5512820512820513,0.0,0.3142208060884223,0.27281457665440223,0.3142208060884223
cml,molqwen3-4b-instruct-sft,False,0.32,0.3204702112702112,0.5843432511363195,0.6153846153846154,0.0954773869346733,0.0,0.38713509294516385,0.0
cml,molqwen3-vl-4b-instruct-sft,False,0.14,0.2919350807423352,0.5113248763887441,0.5512820512820513,0.0169491525423728,0.0,0.3022982321911007,0.0
cml,qwen3-4b-instruct-2507,False,0.455,0.2946498819826907,0.6954881444953258,0.5,0.0,0.0339866309326654,0.3890276052956033,0.0339866309326654
cml,qwen3-vl-4b-instruct,False,0.335,0.3059427506146771,0.6667329020985414,0.5384615384615384,0.0149253731343283,0.0153172747542312,0.3722125128618171,0.0153172747542312
deepsmiles,molqwen3-4b-instruct-sft,False,0.18,0.2636988822959031,0.622539611341487,0.5512820512820513,0.0375335120643431,0.2838420397627491,0.3310108113967569,0.2838420397627491
deepsmiles,molqwen3-vl-4b-instruct-sft,False,0.135,0.2760155724641134,0.6180580485722038,0.5512820512820513,0.0106666666666666,0.2902752760684615,0.318204467797007,0.2902752760684615
deepsmiles,qwen3-4b-instruct-2507,False,0.025,0.1257575757575758,0.659576619884678,0.6025641025641025,0.0,0.3932666666666667,0.28257965964127124,0.3932666666666667
deepsmiles,qwen3-vl-4b-instruct,False,0.075,0.1472158657513348,0.32943951106587066,0.4487179487179487,0.0,0.284552380952381,0.2000746651070308,0.284552380952381
inchi,molqwen3-4b-instruct-sft,False,0.855,0.1878804099383827,0.6006868033906974,0.4743589743589743,0.1037037037037037,0.2695431261620518,0.4443259782783516,0.2695431261620518
inchi,molqwen3-vl-4b-instruct-sft,False,0.85,0.1968333477473591,0.5568244149558259,0.5641025641025641,0.0,0.2078939231194813,0.4335520653611498,0.2078939231194813
inchi,qwen3-4b-instruct-2507,False,0.865,0.2185156696143841,0.7039788519215305,0.5384615384615384,0.0,0.0,0.4651912119994906,0.0
inchi,qwen3-vl-4b-instruct,False,0.98,0.2418824584396771,0.0,0.4871794871794871,0.0,0.1901233484064603,0.3418123891238328,0.1901233484064603
isomeric_smiles,molqwen3-4b-instruct-sft,False,0.145,0.2653989145671816,0.622374530850943,0.6666666666666666,0.0427807486631016,0.3147770599103959,0.34844417214957857,0.3147770599103959
isomeric_smiles,molqwen3-vl-4b-instruct-sft,False,0.11,0.2896369444707041,0.5764444205624476,0.6538461538461539,0.0111111111111111,0.3268438572731204,0.32820772599808334,0.3268438572731204
isomeric_smiles,qwen3-4b-instruct-2507,False,0.01,0.2476698054324315,0.7086484268282894,0.6153846153846154,0.0057636887608069,0.2639143795717776,0.3174933072812286,0.2639143795717776
isomeric_smiles,qwen3-vl-4b-instruct,False,0.095,0.331455293689009,0.4328945774901326,0.5512820512820513,0.0,0.3218177757327874,0.2821263844922386,0.3218177757327874
iupac,molqwen3-4b-instruct-sft,False,0.09,0.2877580619199147,0.6469911632554269,0.6794871794871795,0.1179624664879356,0.3841370927754809,0.36443977423009133,0.3841370927754809
iupac,molqwen3-vl-4b-instruct-sft,False,0.115,0.334091593883942,0.6298557682489518,0.7692307692307693,0.0116959064327485,0.415943599257885,0.37197480755928225,0.415943599257885
iupac,qwen3-4b-instruct-2507,False,0.015,0.3545553990120355,0.6932947925470103,0.6410256410256411,0.0,0.5350037130743982,0.3407751665169374,0.5350037130743982
iupac,qwen3-vl-4b-instruct,False,0.095,0.3802543431146075,0.41467338216846894,0.717948717948718,0.0,0.545281392137005,0.32157528864635887,0.545281392137005
moljson,molqwen3-4b-instruct-sft,False,0.18,0.3213697998073629,0.6564806133735269,0.6025641025641025,0.0568475452196382,0.6016,0.3634524121929261,0.6016
moljson,molqwen3-vl-4b-instruct-sft,False,0.305,0.2728260869565217,0.5173264658403787,0.4615384615384615,0.0223463687150838,0.6016,0.3158074766100891,0.6016
moljson,qwen3-4b-instruct-2507,False,0.79,0.2974177467290688,0.7410433572795134,0.4743589743589743,0.0086580086580086,0.2492143061907037,0.46229561740511305,0.2492143061907037
moljson,qwen3-vl-4b-instruct,False,0.85,0.3212132703794442,0.31875776773302655,0.6153846153846154,0.0131578947368421,0.1820814814814814,0.42370270964678564,0.1820814814814814
randomized_smiles,molqwen3-4b-instruct-sft,False,0.145,0.2517870287590389,0.62170893527387,0.4871794871794871,0.0426666666666666,0.3133011423089946,0.30966842357581253,0.3133011423089946
randomized_smiles,molqwen3-vl-4b-instruct-sft,False,0.14,0.2908721119632544,0.5801983084935731,0.6282051282051282,0.019047619047619,0.3232072174143938,0.33166463354191494,0.3232072174143938
randomized_smiles,qwen3-4b-instruct-2507,False,0.01,0.2414132906843761,0.6675024793067139,0.6025641025641025,0.0,0.2836795599311132,0.30429597451103846,0.2836795599311132
randomized_smiles,qwen3-vl-4b-instruct,False,0.055,0.2734541937357241,0.4816936286456346,0.5897435897435898,0.0,0.330252869291892,0.27997828242498973,0.330252869291892
selfies,molqwen3-4b-instruct-sft,False,0.195,0.2663663997604231,0.6027110475759998,0.5769230769230769,0.0808080808080808,0.3288438169218695,0.34436172101351614,0.3288438169218695
selfies,molqwen3-vl-4b-instruct-sft,False,0.145,0.2557335938353383,0.5607922378994915,0.5897435897435898,0.0053475935828877,0.3296177319676976,0.31132340301226147,0.3296177319676976
selfies,qwen3-4b-instruct-2507,False,0.085,0.2215662407449014,0.6539570051624085,0.5769230769230769,0.0,0.1247026960921517,0.30748926456607734,0.1247026960921517
selfies,qwen3-vl-4b-instruct,False,0.135,0.2688675721260542,0.5522112271759717,0.5,0.0,0.1454913206904415,0.29121575986040515,0.1454913206904415
