representation,benchmark,score,rank
canonical_smiles,B1_atom_counting,0.085,8.0
cml,B1_atom_counting,0.3125,3.0
deepsmiles,B1_atom_counting,0.10375000000000001,5.0
inchi,B1_atom_counting,0.8875,1.0
isomeric_smiles,B1_atom_counting,0.09,6.0
iupac,B1_atom_counting,0.07875,9.0
moljson,B1_atom_counting,0.53125,2.0
randomized_smiles,B1_atom_counting,0.0875,7.0
selfies,B1_atom_counting,0.14,4.0
canonical_smiles,B2_functional_groups,0.27552918150615296,5.0
cml,B2_functional_groups,0.3032494811524785,2.0
deepsmiles,B2_functional_groups,0.20317197406723178,9.0
inchi,B2_functional_groups,0.21127797143495075,8.0
isomeric_smiles,B2_functional_groups,0.28354023953983154,4.0
iupac,B2_functional_groups,0.33916484948262493,1.0
moljson,B2_functional_groups,0.3032067259680994,3.0
randomized_smiles,B2_functional_groups,0.2643816562855984,6.0
selfies,B2_functional_groups,0.2531334516166792,7.0
canonical_smiles,B3_properties,42.27451685782016,3.0
cml,B3_properties,40.15841344627528,1.0
deepsmiles,B3_properties,46.10297791369043,8.0
inchi,B3_properties,55.68936063208973,9.0
isomeric_smiles,B3_properties,43.21896301766165,6.0
iupac,B3_properties,42.06134972143926,2.0
moljson,B3_properties,45.998958604194215,7.0
randomized_smiles,B3_properties,42.93924419730451,5.0
selfies,B3_properties,42.4557069064492,4.0
canonical_smiles,B4_retrieval,0.5641025641025641,4.0
cml,B4_retrieval,0.5512820512820513,6.0
deepsmiles,B4_retrieval,0.5384615384615384,7.5
inchi,B4_retrieval,0.516025641025641,9.0
isomeric_smiles,B4_retrieval,0.6217948717948718,2.0
iupac,B4_retrieval,0.701923076923077,1.0
moljson,B4_retrieval,0.5384615384615384,7.5
randomized_smiles,B4_retrieval,0.5769230769230769,3.0
selfies,B4_retrieval,0.5608974358974359,5.0
canonical_smiles,B5_isomer_discrimination,0.011838871599935925,9.0
cml,B5_isomer_discrimination,0.0318379781528436,2.0
deepsmiles,B5_isomer_discrimination,0.012050044682752425,8.0
inchi,B5_isomer_discrimination,0.025925925925925925,3.0
isomeric_smiles,B5_isomer_discrimination,0.0149138871337549,7.0
iupac,B5_isomer_discrimination,0.03241459323017103,1.0
moljson,B5_isomer_discrimination,0.025252454332393176,4.0
randomized_smiles,B5_isomer_discrimination,0.015428571428571401,6.0
selfies,B5_isomer_discrimination,0.021538918597742124,5.0
canonical_smiles,B6_generation,0.31118393611177997,5.0
cml,B6_generation,0.012325976421724151,9.0
deepsmiles,B6_generation,0.31298409086256457,3.0
inchi,B6_generation,0.16689009942199834,8.0
isomeric_smiles,B6_generation,0.3068382681220203,6.0
iupac,B6_generation,0.4700914493111923,1.0
moljson,B6_generation,0.40862394691804627,2.0
randomized_smiles,B6_generation,0.3126101972365984,4.0
selfies,B6_generation,0.23216389141804006,7.0
